{'Input Sentence': 'put it back', 'Target Sentence': 'regresalo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we can t ignore this problem', 'Target Sentence': 'no podemos ignorar este problema', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'there are some people who sleep in the daytime and work at night', 'Target Sentence': 'algunas personas duermen de dia y trabajan de noche', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i have to go now', 'Target Sentence': 'ahora tengo que irme', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this tank has a capacity of thirty liters', 'Target Sentence': 'este tanque tiene una capacidad de treinta litros', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'are you seriously thinking about becoming involved ?', 'Target Sentence': 'estas pensando seriamente en involucrarte ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'open the window will you ?', 'Target Sentence': 'puedes abrir la ventana ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'mary is afraid of men', 'Target Sentence': 'a mary los hombres le dan miedo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m tired of this monotonous life', 'Target Sentence': 'estoy cansado de esta monotona vida', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i like walking', 'Target Sentence': 'me gusta caminar', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'come to my house whenever you like', 'Target Sentence': 'ven a mi casa cuando quieras', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'maybe we could make a deal', 'Target Sentence': 'quizas podamos hacer trato', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i want to name the baby after you', 'Target Sentence': 'quiero ponerle tu nombre al bebe', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i never expected to meet her in a place like this', 'Target Sentence': 'nunca espere encontrarla en un lugar como este', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i met her during my stay in mexico', 'Target Sentence': 'la conoci durante mi estadia en mexico', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you need it', 'Target Sentence': 'usted lo necesita', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t believe that to be true', 'Target Sentence': 'no creo que eso sea cierto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom didn t know that mary had children', 'Target Sentence': 'tom no sabia que mary tenia hijos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'winning a lottery is an easy way of making money', 'Target Sentence': 'ganar la loteria es una forma facil de hacer dinero', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i have a nosebleed', 'Target Sentence': 'me sangra la nariz', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom was unsuccessful', 'Target Sentence': 'tom era un fracasado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom boarded the ship', 'Target Sentence': 'tom abordo el barco', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i love myself', 'Target Sentence': 'yo me quiero', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i never go out anymore', 'Target Sentence': 'ahora nunca salgo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he sneaked up on him in the middle of the night', 'Target Sentence': 'el se le acerco sigilosamente en medio de la noche', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that s a big problem', 'Target Sentence': 'es un gran problema', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'both of them are hungry', 'Target Sentence': 'los dos tienen hambre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she still hasn t heard this news', 'Target Sentence': 'todavia no ha oido esta noticia', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'there are a lot of stars which are larger than our sun', 'Target Sentence': 'hay muchas estrellas mas grandes que nuestro sol', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you say you want to go to boston ? why in the world would you want to go there ?', 'Target Sentence': 'dices que quieres ir a boston ? por que demonios querrias ir alli ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'at last spring has come to this part of japan', 'Target Sentence': 'por fin la primavera ha llegado a esta parte de japon', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'call for reinforcements', 'Target Sentence': 'pidan refuerzos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that was just a dream', 'Target Sentence': 'eso fue solo un sueno', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i feel lonely', 'Target Sentence': 'me siento sola', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom drank way too much last night', 'Target Sentence': 'tom bebio demasiado anoche', 'Predicted Sentence': '', 'Bleu Score': 0}
0m 27s (- 22m 41s) (1 2%) Train Loss: 7.5682, Val Loss: 5.3462
{'Input Sentence': 'put it back', 'Target Sentence': 'regresalo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'abandon ship !', 'Target Sentence': 'abandonen la nave !', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we re goners', 'Target Sentence': 'estamos desahuciados', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we ve got plenty of time', 'Target Sentence': 'tenemos un monton de tiempo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom has to do something about this problem', 'Target Sentence': 'tom tiene que hacer algo respecto a este problema', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'let s find a safe place to hide', 'Target Sentence': 'busquemos un lugar seguro para escondernos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i felt sorry for the boy', 'Target Sentence': 'me senti mal por el nino', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom is mary s brother not her father', 'Target Sentence': 'tom es el hermano de mary no su padre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the drug culture has its own rules', 'Target Sentence': 'la cultura de la droga tiene sus propias reglas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom hates his neighbor', 'Target Sentence': 'tomas detesta a su vecino', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i like him', 'Target Sentence': 'el me gusta', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the police didn t think it was likely that tom had killed himself', 'Target Sentence': 'la policia no pensaba que fuera probable que tom se hubiera suicidado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'please be quiet and let me finish', 'Target Sentence': 'por favor callate y dejame terminar', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they had a lot of kids', 'Target Sentence': 'ellos tuvieron muchos hijos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom was never really in love with mary', 'Target Sentence': 'tom nunca estuvo realmente enamorado de mary', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the bus stop is across the street', 'Target Sentence': 'la parada de autobus esta al otro lado de la calle', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you don t look well', 'Target Sentence': 'no teneis buen aspecto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he had the cheek to ask me to help him', 'Target Sentence': 'tuvo la jeta de pedirme que lo ayudara', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'all the english teachers at my son s school are native speakers', 'Target Sentence': 'todos los profesores de ingles en el colegio de mi hijo son hablantes nativos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'stay away from the fire', 'Target Sentence': 'mantengase lejos del fuego', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'go lie down', 'Target Sentence': 've a tumbarte', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom is all talk and no action', 'Target Sentence': 'tom es todo palabras y nada de accion', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'generally japanese people are shy', 'Target Sentence': 'generalmente los japoneses son timidos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i have to change into my work clothes', 'Target Sentence': 'me tengo que poner mi ropa de trabajo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'within the past days have you been in close contact with someone who has tested positive for covid ?', 'Target Sentence': 'en los ultimos catorce dias has estado en contacto estrecho con alguien que haya sido positivo por sars cov ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have the manual ?', 'Target Sentence': 'tienes el manual ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wonder if he can lend me his guitar during the vacation', 'Target Sentence': 'me pregunto si me prestara la guitarra durante las vacaciones', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'look how that ball bounces', 'Target Sentence': 'mire cuanto bota esa pelota', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom and mary played hide and go seek', 'Target Sentence': 'tom y mary jugaron al escondite', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'something has gone terribly wrong', 'Target Sentence': 'algo ha salido terriblemente mal', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i want you to tell me everything that happened', 'Target Sentence': 'quiero que me digas todo lo que sucedio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i thought tom would want to help me', 'Target Sentence': 'pense que tom querria ayudarme', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i always knew you were innocent', 'Target Sentence': 'siempre supe que eras inocente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom was always such a happy boy', 'Target Sentence': 'tom siempre fue un nino tan feliz', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'since i had a slight fever i stayed in bed', 'Target Sentence': 'como tenia un poco de fiebre me quede en la cama', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m starting to enjoy it', 'Target Sentence': 'comienzo a disfrutarlo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you have to believe us', 'Target Sentence': 'tienes que creernos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom couldn t have done that by himself i think', 'Target Sentence': 'tom no podria haberlo hecho solo creo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'would you ever eat a cockroach ?', 'Target Sentence': 'alguna vez comerias una cucaracha ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'are you drinking ?', 'Target Sentence': 'estais bebiendo ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m happy and satisfied', 'Target Sentence': 'estoy feliz y satisfecho', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what s there to eat ?', 'Target Sentence': 'que hay para comer ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my mother made some new clothes', 'Target Sentence': 'mi madre me hizo un poco de ropa nueva', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t know why tom is so nervous', 'Target Sentence': 'no tengo idea por que tom esta tan nervioso', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my mother was busy cooking dinner', 'Target Sentence': 'mi madre estaba ocupada preparando la cena', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'children are the future', 'Target Sentence': 'los ninos son el futuro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'can i have some water ?', 'Target Sentence': 'me pueden dar algo de agua ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'don t talk while you re eating', 'Target Sentence': 'no hables mientras estas comiendo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you ll eat with us won t you ?', 'Target Sentence': 'comes con nosotras verdad ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you re in charge now', 'Target Sentence': 'ahora estas tu a cargo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wish the subway wasn t so crowded every morning', 'Target Sentence': 'ojala el metro no estuviera tan lleno todas las mananas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i sat down and opened my notebook', 'Target Sentence': 'me sente y abri mi cuaderno', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'maybe tom went out with mary', 'Target Sentence': 'a lo mejor tom salio con mary', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'don t ask questions just come with me', 'Target Sentence': 'no hagas preguntas solo ven conmigo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the witness did not seem nervous when he spoke at the trial', 'Target Sentence': 'el testigo no parecia estar nervioso cuando testifico en el juicio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the flowers in the garden are beautiful', 'Target Sentence': 'las flores en el jardin son maravillosas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom moved', 'Target Sentence': 'tom se mudo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'when i got home i noticed that i had lost my wallet', 'Target Sentence': 'cuando llegue a casa note que habia perdido mi billetera', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'are you related ?', 'Target Sentence': 'sois parientes ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'shut your mouth', 'Target Sentence': 'cierra la boca', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t want to go with you', 'Target Sentence': 'no quiero ir contigo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he comes here twice a week', 'Target Sentence': 'el viene aqui dos veces por semana', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the morning after i arrived there i took a walk into the woods of oaks', 'Target Sentence': 'a la manana siguiente de haber llegado alli di un paseo por el bosque de robles', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'where are your kids ?', 'Target Sentence': 'donde estan tus hijos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'who sells this ?', 'Target Sentence': 'quien vende esto ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'who is your favorite singer ?', 'Target Sentence': 'cual es tu cantante favorito ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i spilled some fruit juice on my new shirt', 'Target Sentence': 'derrame algo de jugo de fruta en mi camisa nueva', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that s how french is', 'Target Sentence': 'asi va el frances', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i felt pity for the boy', 'Target Sentence': 'tuve compasion del joven', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'will you go ?', 'Target Sentence': 'va a ir ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she drew out the money from the bank', 'Target Sentence': 'saco el dinero del banco', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i know you re in love with me', 'Target Sentence': 'se que estais enamorados de mi', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the french revolution began in', 'Target Sentence': 'la revolucion francesa empezo en', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom doesn t like eating fish', 'Target Sentence': 'a tom no le gusta comer pescado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he pressured me', 'Target Sentence': 'el me presiono', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'guess who i saw today', 'Target Sentence': 'adivina a quien vi hoy', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'though it was very late he went on working', 'Target Sentence': 'aunque era muy tarde el siguio trabajando', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i guessed right', 'Target Sentence': 'acerte', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you can t win all the time', 'Target Sentence': 'no puedes triunfar siempre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'some of the students were absent with colds', 'Target Sentence': 'algunos de los estudiantes se ausentaron por estar resfriados', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he broke his arm and they had to put splints on it', 'Target Sentence': 'se rompio un brazo y tuvieron que entablillarselo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my briefcase is full of papers', 'Target Sentence': 'mi maletin esta lleno de papeles', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that is his car', 'Target Sentence': 'ese es su coche', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom likes fish', 'Target Sentence': 'a tom le gusta el pescado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we should have been more careful', 'Target Sentence': 'deberiamos haber tenido mas cuidado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they were all friends as children', 'Target Sentence': 'todas eran amigas cuando pequenas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i hear that she s a famous actress', 'Target Sentence': 'oi que ella es una actriz famosa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom and mary met at a new year s party', 'Target Sentence': 'tom y maria se conocieron en una fiesta de ano nuevo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t know if i could stand being away from you', 'Target Sentence': 'no se si soportaria estar lejos de ti', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the footnotes are at the bottom of the page', 'Target Sentence': 'las anotaciones estan al pie de la pagina', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'beauty isn t important', 'Target Sentence': 'la belleza no es importante', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have much snow in your country ?', 'Target Sentence': 'nieva mucho en tu pais ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tell her that i am repairing the refrigerator', 'Target Sentence': 'dile que estoy arreglando el frigorifico', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t believe he is a lawyer', 'Target Sentence': 'creo que no es abogado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this watch needs to be fixed', 'Target Sentence': 'hay que arreglar este reloj', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have any pictures of boston ?', 'Target Sentence': 'tiene usted fotos de boston ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that scenario is unlikely', 'Target Sentence': 'ese escenario es poco probable', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'there is a big hole in your stocking', 'Target Sentence': 'tu calceta tiene un agujero grande', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'please adopt this cat', 'Target Sentence': 'por favor adopte este gato', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom has to leave in a few minutes', 'Target Sentence': 'tom tiene que irse en unos minutos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i refuse to do it', 'Target Sentence': 'rechazo hacerlo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'let s wash our hands', 'Target Sentence': 'lavemonos las manos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'silence is a very powerful weapon', 'Target Sentence': 'el silencio es un arma muy poderosa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i feel alone without tom', 'Target Sentence': 'me siento a solas sin tom', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she gave her oath that she would not drink', 'Target Sentence': 'ella dio su palabra de que no beberia', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you and i are going together', 'Target Sentence': 'tu y yo vamos juntos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'no matter how much i eat i never get fat', 'Target Sentence': 'por mas que coma yo nunca engordo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wish i could have gone with her', 'Target Sentence': 'ojala yo hubiera podido ir con ella', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t help tom with that', 'Target Sentence': 'no puedo ayudar a tom con eso', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you keep a dog don t you ?', 'Target Sentence': 'tienes perro no ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i drink milk almost every day', 'Target Sentence': 'bebo leche casi todos los dias', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'start singing', 'Target Sentence': 'empezad a cantar', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the poor old woman had her bag stolen again', 'Target Sentence': 'a la pobre anciana le han vuelto a robar la bolsa', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'who gave you that ?', 'Target Sentence': 'quien te ha dado eso ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i haven t eaten anything since yesterday', 'Target Sentence': 'yo desde ayer no comia nada', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she s sitting in the kitchen and drinking tea', 'Target Sentence': 'ella esta sentada en la cocina tomando te', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i always tell the truth', 'Target Sentence': 'siempre digo la verdad', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you ve got a fever', 'Target Sentence': 'tienes fiebre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i just wanted to help the team', 'Target Sentence': 'solo queria ayudar al equipo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that is exactly what i wanted to buy', 'Target Sentence': 'eso es exactamente lo que queria comprar', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom might have cancer', 'Target Sentence': 'tom posiblemente tenga cancer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'beat it', 'Target Sentence': 'pirate', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'to my surprise he won the prize', 'Target Sentence': 'para mi sorpresa el se gano el premio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m not sure i want to see this', 'Target Sentence': 'no estoy seguro de querer ver esto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you d better not go today', 'Target Sentence': 'mejor no vayas hoy', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m trapped in here', 'Target Sentence': 'estoy atrapado aqui dentro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom and mary are both exhausted', 'Target Sentence': 'tanto tom como mary estan exhaustos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom hurt his elbow when he fell', 'Target Sentence': 'tom se dano el codo al caer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'where are my cigarettes ?', 'Target Sentence': 'donde estan mis cigarrillos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what are you two doing ?', 'Target Sentence': 'que estais haciendo vosotras dos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'where shall we meet ?', 'Target Sentence': 'donde nos encontraremos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'our team is still undefeated', 'Target Sentence': 'nuestro equipo todavia esta invicto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'where can i throw this eggshell ?', 'Target Sentence': 'donde puedo tirar esta cascara de huevo ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you must think this is funny', 'Target Sentence': 'deben pensar que esto es comico', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i shouldn t have to do all this work by myself', 'Target Sentence': 'no deberia tener que hacer todo este trabajo yo solo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'bottoms up !', 'Target Sentence': 'hasta el fondo !', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom played guitar for nearly an hour', 'Target Sentence': 'tom toco guitarra por mas o menos una hora', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'many a mother spoils her sons by not being strict enough', 'Target Sentence': 'muchas madres malcrian a sus hijos por no ser lo suficientemente estrictas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'did you like the movie ?', 'Target Sentence': 'te gusto la pelicula ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'small fish swim just as well as big ones', 'Target Sentence': 'los peces pequenos nadan igual de bien que los grandes', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he does not speak unless he is asked to', 'Target Sentence': 'el no habla a menos que se lo pidan', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i got married', 'Target Sentence': 'me case', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you should ask your parents for permission', 'Target Sentence': 'deberiais pedirles permiso a vuestros padres', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that island has a tropical climate', 'Target Sentence': 'esa isla tiene un clima tropical', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i d like to know why you did it', 'Target Sentence': 'quisiera saber por que lo hiciste', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this knife is not sharp enough', 'Target Sentence': 'este cuchillo no esta lo suficientemente afilado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom told mary everything', 'Target Sentence': 'tom se lo conto todo a mary', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'put your socks on', 'Target Sentence': 'ponte los calcetines', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i can t come now', 'Target Sentence': 'ahora no puedo ir', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'this compass will be useful on your trip', 'Target Sentence': 'esta brujula les sera util en el viaje', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'have you ever seen one ?', 'Target Sentence': 'alguna vez has visto uno ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'sorry i ve got to go', 'Target Sentence': 'lo siento pero me tengo que ir', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'why are you protesting against the government ?', 'Target Sentence': 'por que os estais manifestando contra el gobierno ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my skirt is too long', 'Target Sentence': 'mi falda es demasiado larga', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i asked him about the accident', 'Target Sentence': 'le pregunte sobre el accidente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom thanked mary for helping him', 'Target Sentence': 'tom le agradecio a mary por ayudarlo', 'Predicted Sentence': '', 'Bleu Score': 0}
